suburb,local_board,region,metric,count,known_suburb,known_board,known_region,p_suburb,p_board,p_region
Parau,Waitākere Ranges Local Board Area,west,current_reg,68,76,6064,20046,0.8947368421052632,0.9200197889182058,0.8856629751571385
Parau,Waitākere Ranges Local Board Area,west,owner_reg,24,76,6064,20046,0.3157894736842105,0.34465699208443273,0.305846552928265
Paremoremo,Upper Harbour Local Board Area,north,animal_desexed,146,194,5464,43051,0.7525773195876289,0.7016837481698389,0.7100648068569836
Paremoremo,Upper Harbour Local Board Area,north,classification,4,194,5464,43051,0.020618556701030927,0.016471449487554905,0.016979861094980373
Paremoremo,Upper Harbour Local Board Area,north,current_reg,181,194,5464,43051,0.9329896907216495,0.9302708638360175,0.9315695338087385
Paremoremo,Upper Harbour Local Board Area,north,owner_reg,72,194,5464,43051,0.3711340206185567,0.3444363103953148,0.36059557269285264
Parkhurst,Rodney Local Board Area,north,animal_desexed,40,75,12635,43051,0.5333333333333333,0.6839730906212901,0.7100648068569836
Parkhurst,Rodney Local Board Area,north,classification,1,75,12635,43051,0.013333333333333334,0.015116739216462208,0.016979861094980373
Parkhurst,Rodney Local Board Area,north,current_reg,69,75,12635,43051,0.92,0.9270280965571824,0.9315695338087385
Parkhurst,Rodney Local Board Area,north,owner_reg,27,75,12635,43051,0.36,0.39746735259200633,0.36059557269285264
Parnell,Waitematā Local Board Area,central,animal_desexed,388,531,4310,25368,0.7306967984934086,0.6849187935034803,0.6542100283822138
Parnell,Waitematā Local Board Area,central,classification,3,531,4310,25368,0.005649717514124294,0.013689095127610209,0.03717281614632608
Parnell,Waitematā Local Board Area,central,current_reg,498,531,4310,25368,0.9378531073446328,0.9310904872389791,0.9155234941658783
Parnell,Waitematā Local Board Area,central,owner_reg,117,531,4310,25368,0.22033898305084745,0.23642691415313224,0.2651371807000946
Patumahoe,Franklin Local Board Area,south,animal_desexed,35,53,11978,33754,0.660377358490566,0.6668058106528636,0.560407655388991
Patumahoe,Franklin Local Board Area,south,classification,0,53,11978,33754,0,0.03414593421272333,0.10665402618948866
Patumahoe,Franklin Local Board Area,south,current_reg,50,53,11978,33754,0.9433962264150944,0.9143429620971781,0.8430111986727499
Patumahoe,Franklin Local Board Area,south,owner_reg,25,53,11978,33754,0.4716981132075472,0.4029888128235098,0.29629080997807666
Penrose,Maungakiekie-Tāmaki Local Board Area,central,animal_desexed,18,39,5484,25368,0.46153846153846156,0.5951859956236324,0.6542100283822138
Penrose,Maungakiekie-Tāmaki Local Board Area,central,classification,3,39,5484,25368,0.07692307692307693,0.08460977388767323,0.03717281614632608
Penrose,Maungakiekie-Tāmaki Local Board Area,central,current_reg,37,39,5484,25368,0.9487179487179487,0.8659737417943107,0.9155234941658783
Penrose,Maungakiekie-Tāmaki Local Board Area,central,owner_reg,8,39,5484,25368,0.20512820512820512,0.2671407731582786,0.2651371807000946
Piha,Waitākere Ranges Local Board Area,west,animal_desexed,126,172,6064,20046,0.7325581395348837,0.7204815303430079,0.6577870896937045
Piha,Waitākere Ranges Local Board Area,west,classification,5,172,6064,20046,0.029069767441860465,0.033641160949868076,0.05711862715753766
Piha,Waitākere Ranges Local Board Area,west,current_reg,159,172,6064,20046,0.9244186046511628,0.9200197889182058,0.8856629751571385
Piha,Waitākere Ranges Local Board Area,west,owner_reg,37,172,6064,20046,0.21511627906976744,0.34465699208443273,0.305846552928265
Pine Valley,Rodney Local Board Area,north,animal_desexed,338,492,12635,43051,0.6869918699186992,0.6839730906212901,0.7100648068569836
Pine Valley,Rodney Local Board Area,north,classification,5,492,12635,43051,0.01016260162601626,0.015116739216462208,0.016979861094980373
Pine Valley,Rodney Local Board Area,north,current_reg,471,492,12635,43051,0.9573170731707317,0.9270280965571824,0.9315695338087385
Pine Valley,Rodney Local Board Area,north,owner_reg,210,492,12635,43051,0.4268292682926829,0.39746735259200633,0.36059557269285264
Pinehill,Upper Harbour Local Board Area,north,animal_desexed,162,255,5464,43051,0.6352941176470588,0.7016837481698389,0.7100648068569836
Pinehill,Upper Harbour Local Board Area,north,classification,3,255,5464,43051,0.011764705882352941,0.016471449487554905,0.016979861094980373
Pinehill,Upper Harbour Local Board Area,north,current_reg,228,255,5464,43051,0.8941176470588236,0.9302708638360175,0.9315695338087385
Pinehill,Upper Harbour Local Board Area,north,owner_reg,68,255,5464,43051,0.26666666666666666,0.3444363103953148,0.36059557269285264
Pohuehue,Rodney Local Board Area,north,animal_desexed,45,68,12635,43051,0.6617647058823529,0.6839730906212901,0.7100648068569836
Pohuehue,Rodney Local Board Area,north,classification,1,68,12635,43051,0.014705882352941176,0.015116739216462208,0.016979861094980373
Pohuehue,Rodney Local Board Area,north,current_reg,62,68,12635,43051,0.9117647058823529,0.9270280965571824,0.9315695338087385
Pohuehue,Rodney Local Board Area,north,owner_reg,23,68,12635,43051,0.3382352941176471,0.39746735259200633,0.36059557269285264
Point Chevalier,Albert-Eden Local Board Area,central,animal_desexed,530,777,6233,25368,0.6821106821106822,0.673672388897802,0.6542100283822138
Point Chevalier,Albert-Eden Local Board Area,central,classification,22,777,6233,25368,0.028314028314028315,0.027274185785336115,0.03717281614632608
Point Chevalier,Albert-Eden Local Board Area,central,current_reg,739,777,6233,25368,0.9510939510939511,0.9359858815979464,0.9155234941658783
